report_date,market_data_as_of,entity_type,category,ticker,name,horizon_months,price_return,rank,overall_rank,within_category_rank,market_cap,market_cap_coverage,price_date
2026-08-20,2026-08-19,category,"Fuel blending, refining, and retail",,"Fuel blending, refining, and retail",3,0.31266817407,1,,,374068702481,1,2026-08-19
2026-08-20,2026-08-19,category,U.S. ethanol and process technology,,U.S. ethanol and process technology,3,0.262972584758,2,,,143490589722,1,2026-08-12
2026-08-20,2026-08-19,category,Logistics,,Logistics,3,0.113573359271,3,,,366182560910,1,2026-08-19
2026-08-20,2026-08-19,category,Advanced biofuels and SAF,,Advanced biofuels and SAF,3,0.0754194323943,4,,,403619489658,1,2026-08-12
2026-08-20,2026-08-19,category,"Wet milling, ingredients, and co-products",,"Wet milling, ingredients, and co-products",3,0.0326193149307,5,,,122070417790,1,2026-08-19
2026-08-20,2026-08-19,category,"Crop inputs, equipment, and irrigation",,"Crop inputs, equipment, and irrigation",3,0.0120387218026,6,,,300745184479,1,2026-08-12
2026-08-20,2026-08-19,category,Grain origination and agribusiness,,Grain origination and agribusiness,3,0.00680568144491,7,,,63125801301.2,1,2026-08-19
2026-08-20,2026-08-19,category,International ethanol,,International ethanol,3,-0.24207597695,8,,,4030007905.26,1,2026-08-19
2026-08-20,2026-08-19,category,U.S. ethanol and process technology,,U.S. ethanol and process technology,12,1.13348283203,1,,,143490589722,1,2026-08-12
2026-08-20,2026-08-19,category,"Fuel blending, refining, and retail",,"Fuel blending, refining, and retail",12,1.08874102264,2,,,374068702481,1,2026-08-19
2026-08-20,2026-08-19,category,Grain origination and agribusiness,,Grain origination and agribusiness,12,0.364639589785,3,,,63125801301.2,1,2026-08-19
2026-08-20,2026-08-19,category,Advanced biofuels and SAF,,Advanced biofuels and SAF,12,0.342905625897,4,,,403619489658,1,2026-08-12
2026-08-20,2026-08-19,category,Logistics,,Logistics,12,0.333344023704,5,,,366182560910,1,2026-08-19
2026-08-20,2026-08-19,category,"Wet milling, ingredients, and co-products",,"Wet milling, ingredients, and co-products",12,0.171564941644,6,,,122070417790,1,2026-08-19
2026-08-20,2026-08-19,category,"Crop inputs, equipment, and irrigation",,"Crop inputs, equipment, and irrigation",12,0.147901403071,7,,,300745184479,1,2026-08-12
2026-08-20,2026-08-19,category,International ethanol,,International ethanol,12,-0.118632855019,8,,,4030007905.26,1,2026-08-19
2026-08-20,2026-08-19,category,U.S. ethanol and process technology,,U.S. ethanol and process technology,24,1.12520963553,1,,,143490589722,1,2026-08-12
2026-08-20,2026-08-19,category,"Fuel blending, refining, and retail",,"Fuel blending, refining, and retail",24,1.07274728157,2,,,374068702481,1,2026-08-19
