report_date,market_data_as_of,entity_type,category,ticker,name,horizon_months,price_return,rank,overall_rank,within_category_rank,market_cap,market_cap_coverage,price_date
2026-09-03,2026-09-02,category,"Fuel blending, refining, and retail",,"Fuel blending, refining, and retail",3,0.352894362256,1,,,374068702481,1,2026-09-02
2026-09-03,2026-09-02,category,U.S. ethanol and process technology,,U.S. ethanol and process technology,3,0.280644358571,2,,,143490589722,1,2026-08-12
2026-09-03,2026-09-02,category,"Crop inputs, equipment, and irrigation",,"Crop inputs, equipment, and irrigation",3,0.167241373777,3,,,300745184479,1,2026-08-12
2026-09-03,2026-09-02,category,Advanced biofuels and SAF,,Advanced biofuels and SAF,3,0.116335459385,4,,,403619489658,1,2026-08-12
2026-09-03,2026-09-02,category,Logistics,,Logistics,3,0.0645777012812,5,,,366182560910,1,2026-09-02
2026-09-03,2026-09-02,category,"Wet milling, ingredients, and co-products",,"Wet milling, ingredients, and co-products",3,0.0622699982184,6,,,122070417790,1,2026-09-02
2026-09-03,2026-09-02,category,International ethanol,,International ethanol,3,0.00035400298765,7,,,4030007905.26,1,2026-09-02
2026-09-03,2026-09-02,category,Grain origination and agribusiness,,Grain origination and agribusiness,3,-0.0142587065917,8,,,63125801301.2,1,2026-09-02
2026-09-03,2026-09-02,category,U.S. ethanol and process technology,,U.S. ethanol and process technology,12,1.06527394286,1,,,143490589722,1,2026-08-12
2026-09-03,2026-09-02,category,"Fuel blending, refining, and retail",,"Fuel blending, refining, and retail",12,1.04799419469,2,,,374068702481,1,2026-09-02
2026-09-03,2026-09-02,category,Grain origination and agribusiness,,Grain origination and agribusiness,12,0.441386868843,3,,,63125801301.2,1,2026-09-02
2026-09-03,2026-09-02,category,"Crop inputs, equipment, and irrigation",,"Crop inputs, equipment, and irrigation",12,0.400325158896,4,,,300745184479,1,2026-08-12
2026-09-03,2026-09-02,category,Advanced biofuels and SAF,,Advanced biofuels and SAF,12,0.339870935088,5,,,403619489658,1,2026-08-12
2026-09-03,2026-09-02,category,Logistics,,Logistics,12,0.31873634703,6,,,366182560910,1,2026-09-02
2026-09-03,2026-09-02,category,"Wet milling, ingredients, and co-products",,"Wet milling, ingredients, and co-products",12,0.150997935617,7,,,122070417790,1,2026-09-02
2026-09-03,2026-09-02,category,International ethanol,,International ethanol,12,-0.0907916830065,8,,,4030007905.26,1,2026-09-02
2026-09-03,2026-09-02,category,U.S. ethanol and process technology,,U.S. ethanol and process technology,24,1.23376053705,1,,,143490589722,1,2026-08-12
2026-09-03,2026-09-02,category,"Fuel blending, refining, and retail",,"Fuel blending, refining, and retail",24,1.16065926912,2,,,374068702481,1,2026-09-02
2026-09-03,2026-09-02,category,"Crop inputs, equipment, and irrigation",,"Crop inputs, equipment, and irrigation",24,0.706674963849,3,,,300745184479,1,2026-08-12
2026-09-03,2026-09-02,category,Advanced biofuels and SAF,,Advanced biofuels and SAF,24,0.463984515415,4,,,403619489658,1,2026-08-12
2026-09-03,2026-09-02,category,Grain origination and agribusiness,,Grain origination and agribusiness,24,0.350320877876,5,,,63125801301.2,1,2026-09-02
2026-09-03,2026-09-02,category,"Wet milling, ingredients, and co-products",,"Wet milling, ingredients, and co-products",24,0.241817703613,6,,,122070417790,0.629486393089,2026-09-02
2026-09-03,2026-09-02,category,Logistics,,Logistics,24,0.191164830774,7,,,366182560910,1,2026-09-02
2026-09-03,2026-09-02,category,International ethanol,,International ethanol,24,-0.401245320267,8,,,4030007905.26,1,2026-09-02
2026-09-03,2026-09-02,stock,Advanced biofuels and SAF,CVX,Chevron,3,0.116335459385,1,15,1,403619489658,1,2026-09-02
2026-09-03,2026-09-02,stock,"Crop inputs, equipment, and irrigation",BAYRY,Bayer,3,0.39939637827,1,4,1,,0,2026-08-12
2026-09-03,2026-09-02,stock,"Fuel blending, refining, and retail",MPC,Marathon Petroleum,3,0.448299090603,1,1,1,101307533252,1,2026-09-02
2026-09-03,2026-09-02,stock,Grain origination and agribusiness,ADM,Archer Daniels Midland,3,0.0150992747592,1,24,1,38923055923.1,1,2026-09-02
2026-09-03,2026-09-02,stock,International ethanol,CSAN,Cosan,3,0.0210526315789,1,22,1,2504672704.64,1,2026-09-02
2026-09-03,2026-09-02,stock,Logistics,UNP,Union Pacific,3,0.105291267692,1,17,1,179291985296,1,2026-09-02
2026-09-03,2026-09-02,stock,U.S. ethanol and process technology,VLO,Valero Energy,3,0.400229489386,1,3,1,99697762645.9,1,2026-09-02
2026-09-03,2026-09-02,stock,"Wet milling, ingredients, and co-products",JBS,JBS,3,0.139730639731,1,13,1,45228750792.5,1,2026-09-02
2026-09-03,2026-09-02,stock,Advanced biofuels and SAF,NTOIY,Neste,3,-0.0240963855422,2,28,2,,0,2026-08-12
2026-09-03,2026-09-02,stock,"Crop inputs, equipment, and irrigation",CNH,CNH Industrial,3,0.236413043478,2,6,2,16547953475.8,1,2026-09-02
2026-09-03,2026-09-02,stock,"Fuel blending, refining, and retail",DINO,HF Sinclair,3,0.446141259885,2,2,2,16821907792.4,1,2026-09-02
