report_date,market_data_as_of,entity_type,category,ticker,name,horizon_months,price_return,rank,overall_rank,within_category_rank,market_cap,market_cap_coverage,price_date
2026-08-13,2026-08-12,stock,"Wet milling, ingredients, and co-products",INGR,Ingredion,3,-0.0211340692518,2,19,2,6757305349.85,1,2026-08-12
2026-08-13,2026-08-12,stock,"Crop inputs, equipment, and irrigation",CNH,CNH Industrial,3,-0.00278810408922,3,17,3,16547953475.8,1,2026-08-12
2026-08-13,2026-08-12,stock,"Fuel blending, refining, and retail",PSX,Phillips 66,3,0.31288557793,3,3,3,96678777737.6,1,2026-08-12
2026-08-13,2026-08-12,stock,Grain origination and agribusiness,BG,Bunge,3,-0.113235994287,3,33,3,21901580022,1,2026-08-12
2026-08-13,2026-08-12,stock,Logistics,CP,Canadian Pacific Kansas City,3,0.0823213451658,3,9,3,83020241914.6,1,2026-08-12
2026-08-13,2026-08-12,stock,U.S. ethanol and process technology,ADM,Archer Daniels Midland,3,-0.0381228133671,3,20,3,38923055923.1,1,2026-08-12
2026-08-13,2026-08-12,stock,"Wet milling, ingredients, and co-products",ADM,Archer Daniels Midland,3,-0.0381228133671,3,20,3,38923055923.1,1,2026-08-12
2026-08-13,2026-08-12,stock,"Crop inputs, equipment, and irrigation",MOS,Mosaic,3,-0.00790166812994,4,18,4,7066820210.58,1,2026-08-12
2026-08-13,2026-08-12,stock,"Fuel blending, refining, and retail",DINO,HF Sinclair,3,0.267368117613,4,4,4,16821907792.4,1,2026-08-12
2026-08-13,2026-08-12,stock,Logistics,GATX,GATX,3,-0.00116848430893,4,16,4,6219339017.28,1,2026-08-12
2026-08-13,2026-08-12,stock,U.S. ethanol and process technology,ANDE,The Andersons,3,-0.0839151075119,4,27,4,2301165356.1,1,2026-08-12
2026-08-13,2026-08-12,stock,"Wet milling, ingredients, and co-products",JBS,JBS,3,-0.106875425459,4,32,4,45228750792.5,1,2026-08-12
2026-08-13,2026-08-12,stock,"Crop inputs, equipment, and irrigation",VMI,Valmont Industries,3,-0.0403403228005,5,21,5,9349921875.14,1,2026-08-12
2026-08-13,2026-08-12,stock,"Fuel blending, refining, and retail",SUN,Sunoco LP,3,0.0794399199886,5,10,5,14487140849.6,1,2026-08-12
2026-08-13,2026-08-12,stock,Logistics,GBX,Greenbrier,3,-0.0858291457286,5,28,5,1407755713,1,2026-08-12
2026-08-13,2026-08-12,stock,U.S. ethanol and process technology,GPRE,Green Plains,3,-0.101130279595,5,30,5,1123628107.84,1,2026-08-12
2026-08-13,2026-08-12,stock,"Wet milling, ingredients, and co-products",TSN,Tyson Foods,3,-0.165645088952,5,35,5,20597978527.6,1,2026-08-12
2026-08-13,2026-08-12,stock,"Crop inputs, equipment, and irrigation",CF,CF Industries,3,-0.0437450199203,6,22,6,18012264232.6,1,2026-08-12
2026-08-13,2026-08-12,stock,"Fuel blending, refining, and retail",CVI,CVR Energy,3,0.0354609929078,6,13,6,3689472983.3,1,2026-08-12
2026-08-13,2026-08-12,stock,Logistics,TRN,Trinity Industries,3,-0.209849521204,6,36,6,2359810175.32,1,2026-08-12
