report_date,market_data_as_of,entity_type,category,ticker,name,horizon_months,price_return,rank,overall_rank,within_category_rank,market_cap,market_cap_coverage,price_date
2026-08-27,2026-08-26,category,"Fuel blending, refining, and retail",,"Fuel blending, refining, and retail",3,0.375458257643,1,,,374068702481,1,2026-08-26
2026-08-27,2026-08-26,category,U.S. ethanol and process technology,,U.S. ethanol and process technology,3,0.309886185357,2,,,143490589722,1,2026-08-12
2026-08-27,2026-08-26,category,"Crop inputs, equipment, and irrigation",,"Crop inputs, equipment, and irrigation",3,0.125740292379,3,,,300745184479,1,2026-08-12
2026-08-27,2026-08-26,category,Advanced biofuels and SAF,,Advanced biofuels and SAF,3,0.0976425438596,4,,,403619489658,1,2026-08-12
2026-08-27,2026-08-26,category,Logistics,,Logistics,3,0.0883411699915,5,,,366182560910,1,2026-08-26
2026-08-27,2026-08-26,category,"Wet milling, ingredients, and co-products",,"Wet milling, ingredients, and co-products",3,-0.00123095186149,6,,,122070417790,1,2026-08-26
2026-08-27,2026-08-26,category,Grain origination and agribusiness,,Grain origination and agribusiness,3,-0.0219827082516,7,,,63125801301.2,1,2026-08-26
2026-08-27,2026-08-26,category,International ethanol,,International ethanol,3,-0.11548961704,8,,,4030007905.26,1,2026-08-26
2026-08-27,2026-08-26,category,U.S. ethanol and process technology,,U.S. ethanol and process technology,12,1.00178708199,1,,,143490589722,1,2026-08-12
2026-08-27,2026-08-26,category,"Fuel blending, refining, and retail",,"Fuel blending, refining, and retail",12,0.968010249987,2,,,374068702481,1,2026-08-26
2026-08-27,2026-08-26,category,Logistics,,Logistics,12,0.404156879389,3,,,366182560910,1,2026-08-26
2026-08-27,2026-08-26,category,Grain origination and agribusiness,,Grain origination and agribusiness,12,0.309980176776,4,,,63125801301.2,1,2026-08-26
2026-08-27,2026-08-26,category,Advanced biofuels and SAF,,Advanced biofuels and SAF,12,0.257284601859,5,,,403619489658,1,2026-08-12
2026-08-27,2026-08-26,category,"Crop inputs, equipment, and irrigation",,"Crop inputs, equipment, and irrigation",12,0.224195371176,6,,,300745184479,1,2026-08-12
2026-08-27,2026-08-26,category,"Wet milling, ingredients, and co-products",,"Wet milling, ingredients, and co-products",12,0.0834796410329,7,,,122070417790,1,2026-08-26
2026-08-27,2026-08-26,category,International ethanol,,International ethanol,12,-0.0744591863329,8,,,4030007905.26,1,2026-08-26
2026-08-27,2026-08-26,category,U.S. ethanol and process technology,,U.S. ethanol and process technology,24,1.12295001027,1,,,143490589722,1,2026-08-12
2026-08-27,2026-08-26,category,"Fuel blending, refining, and retail",,"Fuel blending, refining, and retail",24,1.0713571019,2,,,374068702481,1,2026-08-26
2026-08-27,2026-08-26,category,"Crop inputs, equipment, and irrigation",,"Crop inputs, equipment, and irrigation",24,0.565109700553,3,,,300745184479,1,2026-08-12
2026-08-27,2026-08-26,category,Advanced biofuels and SAF,,Advanced biofuels and SAF,24,0.36243620279,4,,,403619489658,1,2026-08-12
2026-08-27,2026-08-26,category,Logistics,,Logistics,24,0.292174481423,5,,,366182560910,1,2026-08-26
2026-08-27,2026-08-26,category,Grain origination and agribusiness,,Grain origination and agribusiness,24,0.254589107464,6,,,63125801301.2,1,2026-08-26
2026-08-27,2026-08-26,category,"Wet milling, ingredients, and co-products",,"Wet milling, ingredients, and co-products",24,0.18366834532,7,,,122070417790,0.629486393089,2026-08-26
2026-08-27,2026-08-26,category,International ethanol,,International ethanol,24,-0.439224238731,8,,,4030007905.26,1,2026-08-26
2026-08-27,2026-08-26,stock,Advanced biofuels and SAF,CVX,Chevron,3,0.0976425438596,1,12,1,403619489658,1,2026-08-26
2026-08-27,2026-08-26,stock,"Crop inputs, equipment, and irrigation",BAYRY,Bayer,3,0.263396911898,1,5,1,,0,2026-08-12
2026-08-27,2026-08-26,stock,"Fuel blending, refining, and retail",MPC,Marathon Petroleum,3,0.466383323214,1,1,1,101307533252,1,2026-08-26
2026-08-27,2026-08-26,stock,Grain origination and agribusiness,ADM,Archer Daniels Midland,3,0.00678818353237,1,26,1,38923055923.1,1,2026-08-26
2026-08-27,2026-08-26,stock,International ethanol,CSAN,Cosan,3,-0.11320754717,1,35,1,2504672704.64,1,2026-08-26
2026-08-27,2026-08-26,stock,Logistics,UNP,Union Pacific,3,0.11177923333,1,9,1,179291985296,1,2026-08-26
2026-08-27,2026-08-26,stock,U.S. ethanol and process technology,VLO,Valero Energy,3,0.448073562453,1,2,1,99697762645.9,1,2026-08-26
2026-08-27,2026-08-26,stock,"Wet milling, ingredients, and co-products",DAR,Darling Ingredients,3,0.0640108954716,1,17,1,10563327197,1,2026-08-26
2026-08-27,2026-08-26,stock,Advanced biofuels and SAF,NTOIY,Neste,3,0.0731861198738,2,15,2,,0,2026-08-12
2026-08-27,2026-08-26,stock,"Crop inputs, equipment, and irrigation",DE,Deere,3,0.198624832354,2,7,2,156733767078,1,2026-08-26
2026-08-27,2026-08-26,stock,"Fuel blending, refining, and retail",VLO,Valero Energy,3,0.448073562453,2,2,2,99697762645.9,1,2026-08-26
2026-08-27,2026-08-26,stock,Grain origination and agribusiness,BG,Bunge,3,-0.065439841558,2,31,2,21901580022,1,2026-08-26
2026-08-27,2026-08-26,stock,International ethanol,AGRO,Adecoagro,3,-0.119236883943,2,36,2,1525335200.62,1,2026-08-26
2026-08-27,2026-08-26,stock,Logistics,CSX,CSX,3,0.0980059397539,2,11,2,93883428793.6,1,2026-08-26
2026-08-27,2026-08-26,stock,U.S. ethanol and process technology,NVZMY,Novonesis,3,0.0950920245399,2,13,2,,0,2026-08-12
2026-08-27,2026-08-26,stock,"Wet milling, ingredients, and co-products",JBS,JBS,3,0.0400907715582,2,18,2,45228750792.5,1,2026-08-26
2026-08-27,2026-08-26,stock,"Crop inputs, equipment, and irrigation",CNH,CNH Industrial,3,0.104562737643,3,10,3,16547953475.8,1,2026-08-26
2026-08-27,2026-08-26,stock,"Fuel blending, refining, and retail",DINO,HF Sinclair,3,0.417743830787,3,3,3,16821907792.4,1,2026-08-26
2026-08-27,2026-08-26,stock,Grain origination and agribusiness,ANDE,The Andersons,3,-0.0950201137467,3,34,3,2301165356.1,1,2026-08-26
2026-08-27,2026-08-26,stock,Logistics,CP,Canadian Pacific Kansas City,3,0.0378040762656,3,19,3,83020241914.6,1,2026-08-26
2026-08-27,2026-08-26,stock,U.S. ethanol and process technology,ADM,Archer Daniels Midland,3,0.00678818353237,3,26,3,38923055923.1,1,2026-08-26
